DateStr,State,Count,Status
2020-05-30,an,0,Confirmed
2020-05-30,an,0,Recovered
2020-05-30,an,0,Deceased
2020-05-30,ap,131,Confirmed
2020-05-30,ap,55,Recovered
2020-05-30,ap,0,Deceased
2020-05-30,ar,1,Confirmed
2020-05-30,ar,0,Recovered
2020-05-30,ar,0,Deceased
2020-05-30,as,159,Confirmed
2020-05-30,as,38,Recovered
2020-05-30,as,0,Deceased
2020-05-30,br,206,Confirmed
2020-05-30,br,102,Recovered
2020-05-30,br,6,Deceased
2020-05-30,ch,0,Confirmed
2020-05-30,ch,10,Recovered
2020-05-30,ch,0,Deceased
2020-05-30,ct,32,Confirmed
2020-05-30,ct,2,Recovered
2020-05-30,ct,0,Deceased
2020-05-30,dd,0,Confirmed
2020-05-30,dd,0,Recovered
2020-05-30,dd,0,Deceased
2020-05-30,dl,1163,Confirmed
2020-05-30,dl,229,Recovered
2020-05-30,dl,18,Deceased
2020-05-30,dn,0,Confirmed
2020-05-30,dn,0,Recovered
2020-05-30,dn,0,Deceased
2020-05-30,ga,1,Confirmed
2020-05-30,ga,1,Recovered
2020-05-30,ga,0,Deceased
2020-05-30,gj,412,Confirmed
2020-05-30,gj,621,Recovered
2020-05-30,gj,27,Deceased
2020-05-30,hp,18,Confirmed
2020-05-30,hp,24,Recovered
2020-05-30,hp,0,Deceased
2020-05-30,hr,202,Confirmed
2020-05-30,hr,31,Recovered
2020-05-30,hr,1,Deceased
2020-05-30,jh,73,Confirmed
2020-05-30,jh,40,Recovered
2020-05-30,jh,0,Deceased
2020-05-30,jk,177,Confirmed
2020-05-30,jk,33,Recovered
2020-05-30,jk,0,Deceased
2020-05-30,ka,141,Confirmed
2020-05-30,ka,103,Recovered
2020-05-30,ka,1,Deceased
2020-05-30,kl,58,Confirmed
2020-05-30,kl,10,Recovered
2020-05-30,kl,1,Deceased
2020-05-30,la,3,Confirmed
2020-05-30,la,0,Recovered
2020-05-30,la,0,Deceased
2020-05-30,ld,0,Confirmed
2020-05-30,ld,0,Recovered
2020-05-30,ld,0,Deceased
2020-05-30,mh,2940,Confirmed
2020-05-30,mh,1084,Recovered
2020-05-30,mh,99,Deceased
2020-05-30,ml,0,Confirmed
2020-05-30,ml,0,Recovered
2020-05-30,ml,0,Deceased
2020-05-30,mn,1,Confirmed
2020-05-30,mn,0,Recovered
2020-05-30,mn,0,Deceased
2020-05-30,mp,246,Confirmed
2020-05-30,mp,175,Recovered
2020-05-30,mp,9,Deceased
2020-05-30,mz,0,Confirmed
2020-05-30,mz,0,Recovered
2020-05-30,mz,0,Deceased
2020-05-30,nl,11,Confirmed
2020-05-30,nl,0,Recovered
2020-05-30,nl,0,Deceased
2020-05-30,or,96,Confirmed
2020-05-30,or,73,Recovered
2020-05-30,or,0,Deceased
2020-05-30,pb,36,Confirmed
2020-05-30,pb,18,Recovered
2020-05-30,pb,2,Deceased
2020-05-30,py,0,Confirmed
2020-05-30,py,0,Recovered
2020-05-30,py,0,Deceased
2020-05-30,rj,252,Confirmed
2020-05-30,rj,495,Recovered
2020-05-30,rj,9,Deceased
2020-05-30,sk,0,Confirmed
2020-05-30,sk,0,Recovered
2020-05-30,sk,0,Deceased
2020-05-30,tg,74,Confirmed
2020-05-30,tg,31,Recovered
2020-05-30,tg,6,Deceased
2020-05-30,tn,938,Confirmed
2020-05-30,tn,687,Recovered
2020-05-30,tn,6,Deceased
2020-05-30,tr,17,Confirmed
2020-05-30,tr,5,Recovered
2020-05-30,tr,0,Deceased
2020-05-30,tt,8364,Confirmed
2020-05-30,tt,4303,Recovered
2020-05-30,tt,205,Deceased
2020-05-30,un,370,Confirmed
2020-05-30,un,0,Recovered
2020-05-30,un,0,Deceased
2020-05-30,up,256,Confirmed
2020-05-30,up,241,Recovered
2020-05-30,up,12,Deceased
2020-05-30,ut,33,Confirmed
2020-05-30,ut,0,Recovered
2020-05-30,ut,1,Deceased
2020-05-30,wb,317,Confirmed
2020-05-30,wb,195,Recovered
2020-05-30,wb,7,Deceased
