DateStr,State,Count,Status
2020-05-31,an,0,Confirmed
2020-05-31,an,0,Recovered
2020-05-31,an,0,Deceased
2020-05-31,ap,110,Confirmed
2020-05-31,ap,51,Recovered
2020-05-31,ap,2,Deceased
2020-05-31,ar,0,Confirmed
2020-05-31,ar,0,Recovered
2020-05-31,ar,0,Deceased
2020-05-31,as,123,Confirmed
2020-05-31,as,22,Recovered
2020-05-31,as,0,Deceased
2020-05-31,br,242,Confirmed
2020-05-31,br,209,Recovered
2020-05-31,br,2,Deceased
2020-05-31,ch,4,Confirmed
2020-05-31,ch,0,Recovered
2020-05-31,ch,0,Deceased
2020-05-31,ct,51,Confirmed
2020-05-31,ct,12,Recovered
2020-05-31,ct,0,Deceased
2020-05-31,dd,0,Confirmed
2020-05-31,dd,0,Recovered
2020-05-31,dd,0,Deceased
2020-05-31,dl,1295,Confirmed
2020-05-31,dl,403,Recovered
2020-05-31,dl,57,Deceased
2020-05-31,dn,0,Confirmed
2020-05-31,dn,0,Recovered
2020-05-31,dn,0,Deceased
2020-05-31,ga,1,Confirmed
2020-05-31,ga,2,Recovered
2020-05-31,ga,0,Deceased
2020-05-31,gj,438,Confirmed
2020-05-31,gj,689,Recovered
2020-05-31,gj,31,Deceased
2020-05-31,hp,18,Confirmed
2020-05-31,hp,9,Recovered
2020-05-31,hp,0,Deceased
2020-05-31,hr,168,Confirmed
2020-05-31,hr,77,Recovered
2020-05-31,hr,0,Deceased
2020-05-31,jh,41,Confirmed
2020-05-31,jh,0,Recovered
2020-05-31,jh,0,Deceased
2020-05-31,jk,105,Confirmed
2020-05-31,jk,19,Recovered
2020-05-31,jk,0,Deceased
2020-05-31,ka,299,Confirmed
2020-05-31,ka,221,Recovered
2020-05-31,ka,2,Deceased
2020-05-31,kl,61,Confirmed
2020-05-31,kl,15,Recovered
2020-05-31,kl,0,Deceased
2020-05-31,la,0,Confirmed
2020-05-31,la,4,Recovered
2020-05-31,la,0,Deceased
2020-05-31,ld,0,Confirmed
2020-05-31,ld,0,Recovered
2020-05-31,ld,0,Deceased
2020-05-31,mh,2487,Confirmed
2020-05-31,mh,1248,Recovered
2020-05-31,mh,89,Deceased
2020-05-31,ml,0,Confirmed
2020-05-31,ml,0,Recovered
2020-05-31,ml,0,Deceased
2020-05-31,mn,11,Confirmed
2020-05-31,mn,5,Recovered
2020-05-31,mn,0,Deceased
2020-05-31,mp,198,Confirmed
2020-05-31,mp,398,Recovered
2020-05-31,mp,7,Deceased
2020-05-31,mz,0,Confirmed
2020-05-31,mz,0,Recovered
2020-05-31,mz,0,Deceased
2020-05-31,nl,7,Confirmed
2020-05-31,nl,0,Recovered
2020-05-31,nl,0,Deceased
2020-05-31,or,129,Confirmed
2020-05-31,or,76,Recovered
2020-05-31,or,0,Deceased
2020-05-31,pb,30,Confirmed
2020-05-31,pb,20,Recovered
2020-05-31,pb,1,Deceased
2020-05-31,py,13,Confirmed
2020-05-31,py,2,Recovered
2020-05-31,py,0,Deceased
2020-05-31,rj,214,Confirmed
2020-05-31,rj,293,Recovered
2020-05-31,rj,1,Deceased
2020-05-31,sk,0,Confirmed
2020-05-31,sk,0,Recovered
2020-05-31,sk,0,Deceased
2020-05-31,tg,199,Confirmed
2020-05-31,tg,16,Recovered
2020-05-31,tg,5,Deceased
2020-05-31,tn,1149,Confirmed
2020-05-31,tn,757,Recovered
2020-05-31,tn,13,Deceased
2020-05-31,tr,45,Confirmed
2020-05-31,tr,1,Recovered
2020-05-31,tr,0,Deceased
2020-05-31,tt,8789,Confirmed
2020-05-31,tt,4928,Recovered
2020-05-31,tt,222,Deceased
2020-05-31,un,448,Confirmed
2020-05-31,un,0,Recovered
2020-05-31,un,0,Deceased
2020-05-31,up,374,Confirmed
2020-05-31,up,192,Recovered
2020-05-31,up,4,Deceased
2020-05-31,ut,158,Confirmed
2020-05-31,ut,0,Recovered
2020-05-31,ut,0,Deceased
2020-05-31,wb,371,Confirmed
2020-05-31,wb,187,Recovered
2020-05-31,wb,8,Deceased
